label, LUT ratio, FF ratio, BRAM ratio, DSP ratio, path delay, Rent, average fanout, total instances
Success, 0.8434145725470388, 0.44510385756676557, 0.4393939393939394, 0.9696969696969697, 0.0616, 0.3, 2.52, 14319
Success, 0.7393610304331355, 0.42887808573773595, 0.5303030303030303, 0.09090909090909091, 0.0616, 0.27, 2.69, 13229
Success, 0.8953150650334638, 0.5528126775680283, 0.5909090909090909, 0.25757575757575757, 0.0616, 0.58, 2.92, 16950
Success, 0.9254956433893168, 0.5544541953406149, 0.5909090909090909, 0.5, 0.0616, 0.41, 2.66, 17148
Success, 0.7024876878393737, 0.43493907443651747, 0.3484848484848485, 0.36363636363636365, 0.0616, 0.43, 2.69, 13056
Implementation failed, 0.7274908448036368, 0.17665256644990213, 0.16666666666666666, 0.0, 0.0616, 0.28, 4.03, 6311
Success, 0.8262406869554236, 0.5594418839573205, 0.4393939393939394, 0.5151515151515151, 0.0616, 0.51, 2.59, 16499
Success, 0.7815380729890138, 0.43752762169328874, 0.4393939393939394, 0.48484848484848486, 0.0616, 0.48, 2.64, 13790
Success, 0.6625836595529738, 0.4007197424079803, 0.7121212121212122, 0.36363636363636365, 0.0616, 0.49, 2.45, 12537
Success, 0.6210380098497285, 0.3391628259359808, 0.6515151515151515, 0.0, 0.0616, 0.5, 2.67, 11434
Success, 0.7474428589468367, 0.44156828082580973, 0.4393939393939394, 0.5151515151515151, 0.0616, 0.28, 2.64, 13615
Success, 0.724712716252052, 0.4795757307910853, 0.2878787878787879, 0.0, 0.0616, 0.56, 3.19, 12708
Success, 0.7825483015532264, 0.5491508302291811, 0.4393939393939394, 0.2727272727272727, 0.0616, 0.46, 2.76, 16024
Success, 0.7961863871700973, 0.4649283414356967, 0.6212121212121212, 0.5, 0.0616, 0.43, 2.63, 14495
Success, 0.8833186008334386, 0.4596249763242629, 0.8333333333333334, 0.18181818181818182, 0.0616, 0.33, 2.67, 14899
Success, 0.8104558656396009, 0.4694740829597828, 0.9393939393939394, 0.24242424242424243, 0.0616, 0.53, 2.62, 15251
Success, 0.7546407374668519, 0.41574594355704275, 0.5151515151515151, 0.0, 0.0616, 0.56, 2.94, 14170
Success, 0.8570526581639096, 0.5089336448008082, 0.6212121212121212, 0.25757575757575757, 0.0616, 0.52, 2.87, 15965
Success, 0.6593004167192827, 0.2938316812930109, 0.6515151515151515, 0.0, 0.0616, 0.54, 2.66, 11055
Success, 0.811339815633287, 0.4627817412715449, 0.3787878787878788, 0.9696969696969697, 0.0616, 0.41, 2.56, 14121
Success, 0.7348150018941786, 0.39693162447124186, 0.4696969696969697, 0.0, 0.0616, 0.57, 2.92, 13339
Success, 0.7750978658921581, 0.4692846770629459, 0.3787878787878788, 0.36363636363636365, 0.0616, 0.45, 2.74, 14241
Implementation failed, 0.8974618007324157, 0.4976955615884841, 0.6515151515151515, 0.0, 0.0616, 0.58, 2.6, 16905
Success, 0.9821947215557519, 0.5517393774859524, 0.9848484848484849, 0.24242424242424243, 0.0616, 0.48, 2.72, 18248
Success, 0.7489582017931558, 0.43399204495233284, 0.6515151515151515, 0.0, 0.0616, 0.56, 2.59, 14492
Success, 0.8300290440712211, 0.4764189658438033, 0.7121212121212122, 0.48484848484848486, 0.0616, 0.55, 2.44, 15718
Success, 0.8253567369617376, 0.5035671443904287, 0.9393939393939394, 0.24242424242424243, 0.0616, 0.41, 2.65, 15670
Implementation failed, 0.9098371006440207, 0.4475029989266999, 0.9545454545454546, 0.0, 0.0616, 0.67, 2.82, 15767
Success, 0.8821820936986994, 0.5506660774038765, 0.4393939393939394, 0.5151515151515151, 0.0616, 0.49, 2.63, 16862
Success, 0.8093193585048617, 0.48039648967737864, 0.5303030303030303, 0.0, 0.0616, 0.58, 2.94, 16036
Success, 0.7293850233615355, 0.43645432161121284, 0.6212121212121212, 0.48484848484848486, 0.0616, 0.41, 2.43, 13994
Success, 0.8185376941533021, 0.4380958393837995, 0.8939393939393939, 0.10606060606060606, 0.0616, 0.36, 2.8, 14074
Success, 0.7911352443490339, 0.4727571185049561, 0.3787878787878788, 0.48484848484848486, 0.0616, 0.47, 2.7, 14350
Success, 0.7338047733299659, 0.39642654207967676, 0.3484848484848485, 0.9696969696969697, 0.0616, 0.41, 2.49, 12168
Implementation failed, 0.9441848718272509, 0.5465622829724098, 0.6212121212121212, 0.48484848484848486, 0.0616, 0.47, 2.62, 17470
Success, 0.7480742517994696, 0.4076014899930551, 0.5909090909090909, 0.0, 0.0616, 0.56, 2.88, 13547
Success, 0.8185376941533021, 0.4707999242376413, 0.696969696969697, 0.045454545454545456, 0.0616, 0.54, 2.86, 15177
Success, 0.8216946584164667, 0.440810657238462, 0.8333333333333334, 0.0, 0.0616, 0.63, 2.73, 15245
Success, 0.7562823588836974, 0.4418839573205379, 0.3484848484848485, 0.24242424242424243, 0.0616, 0.41, 2.75, 13501
Success, 0.7204192448541482, 0.3031125702380201, 0.8333333333333334, 0.0, 0.0616, 0.52, 2.7, 11644
Success, 0.7583028160121228, 0.47338847149441254, 0.4393939393939394, 0.5151515151515151, 0.0616, 0.42, 2.68, 14144
Success, 0.9324409647682789, 0.46688553570301156, 0.7878787878787878, 0.0, 0.0616, 0.58, 2.87, 16138
Success, 0.7139790377572925, 0.3838626175894943, 0.5606060606060606, 0.0, 0.0616, 0.46, 2.74, 13068
Success, 0.8239676726859452, 0.4005303365111434, 0.7121212121212122, 0.0, 0.0616, 0.64, 2.81, 14457
Success, 0.9295365576461675, 0.509312456594482, 0.7727272727272727, 0.8484848484848485, 0.0616, 0.41, 2.83, 15337
Success, 0.735572673317338, 0.4203548203800745, 0.7878787878787878, 0.0, 0.0616, 0.57, 3.04, 14176
Success, 0.8455613082459906, 0.49119262579708317, 0.7878787878787878, 0.0, 0.0616, 0.68, 2.72, 16050
Success, 0.9439323146861978, 0.5478881242502683, 0.3484848484848485, 0.9696969696969697, 0.0616, 0.35, 2.61, 16967
Success, 0.6813991665614345, 0.34471873224319716, 0.5151515151515151, 0.0, 0.0616, 0.47, 2.75, 12912
Success, 0.7109483520646547, 0.38531472946524403, 0.7424242424242424, 0.045454545454545456, 0.0616, 0.51, 2.8, 13100
Success, 0.6677610809445637, 0.40482353683944694, 0.5303030303030303, 0.045454545454545456, 0.0616, 0.48, 2.81, 12819
Success, 0.8857178936734437, 0.447313593029863, 0.9545454545454546, 0.045454545454545456, 0.0616, 0.53, 2.85, 15771
Success, 0.7094330092183356, 0.3829155881053097, 0.4393939393939394, 0.48484848484848486, 0.0616, 0.33, 2.55, 11766
Success, 0.7629751231216063, 0.49832691457794054, 0.6515151515151515, 0.24242424242424243, 0.0616, 0.38, 2.56, 15422
Success, 0.7978280085869428, 0.48828840204558366, 0.3939393939393939, 0.2727272727272727, 0.0616, 0.37, 2.94, 14841
Success, 0.9506250789241065, 0.5010417324326031, 0.7121212121212122, 0.6060606060606061, 0.0616, 0.43, 2.79, 16031
Success, 0.7306478090668014, 0.42136498516320475, 0.4393939393939394, 0.48484848484848486, 0.0616, 0.37, 2.63, 13401
Implementation failed, 0.8906427579239803, 0.4817223309552371, 0.7878787878787878, 0.0, 0.0616, 0.52, 2.58, 17059
Success, 0.744033337542619, 0.3961740008838942, 0.5606060606060606, 0.0, 0.0616, 0.54, 3.03, 13574
Success, 0.8018689228437934, 0.44769240482353684, 0.4393939393939394, 0.7272727272727273, 0.0616, 0.41, 2.56, 14150
Success, 0.6522288167697942, 0.419912873287455, 0.2878787878787879, 0.0, 0.0616, 0.5, 2.96, 13648
