7919,66,66
6679,29,64
5855,35,6
7090,39,17
7329,39,33
5563,23,24
6543,29,34
6189,29,32
5247,47,24
4918,43,0
5919,29,34
5739,19,0
6197,29,18
6305,41,33
6995,55,12
6418,62,16
5976,34,0
6787,41,17
5221,43,0
6425,25,64
5819,31,0
6138,25,24
7778,65,16
5931,43,0
6573,47,32
6536,62,16
6986,29,34
6409,35,0
5776,41,32
6482,59,7
6265,25,32
5811,23,64
5924,39,0
6482,46,3
6507,55,0
5989,23,16
5705,55,0
6005,29,34
7384,52,0
5654,37,0
6525,47,0
7361,51,56
5825,52,0
6696,52,0
7475,23,64
5396,34,0
5630,49,3
5288,35,3
7014,63,3
5618,29,32
6042,43,16
6318,26,18
7528,47,40
5786,29,32
5892,37,0
6350,29,48
5165,19,0
6119,53,3
6460,23,64
4919,23,32
7509,25,64
5793,35,0
7237,41,16
5303,23,24
5230,35,3
6863,33,32
5505,39,0
7534,44,48
7566,49,32
6581,29,34
7913,27,40
6388,39,0
5695,26,18
6210,25,64
6116,33,16
4994,35,0
6344,49,3
4952,33,0
6268,41,33
6267,29,18
6285,41,48
7209,41,33
7623,44,24
5249,43,0
7010,42,0
5818,42,0
5677,29,32
5049,37,0
7199,55,0
6966,63,3
4940,26,26
5431,44,24
7755,50,24
5486,11,0
7048,35,17
7852,35,65
6049,29,32
6563,23,48
7272,26,34
5762,52,0
5570,23,32
5441,25,32
6318,35,7
5687,23,0
7394,53,40
5274,44,16
7756,61,56
4842,37,0
5958,47,0
5539,25,48
7677,29,48
6294,33,32
6592,49,0
5657,31,0
6990,8,54
5723,29,18
6909,8,54
6889,23,64
7727,46,3
6277,35,3
5298,19,0
6026,52,0
4852,21,0
6189,43,0
6690,39,17
6796,29,48
5902,41,16
6064,43,16
6825,55,0
6360,41,16
7262,62,16
6937,55,0
6814,39,12
7256,41,32
5444,37,0
7248,61,56
5084,44,24
5344,29,32
5775,39,0
7624,63,64
5850,33,16
5173,41,32
7295,55,0
5540,37,0
6469,41,40
6513,29,34
5603,25,32
6754,29,48
7410,41,24
6957,63,0
6650,51,24
6479,61,32
5143,31,0
7190,49,16
5308,19,0
7752,33,32
7293,57,40
5699,29,24
5805,29,24
7174,41,16
5428,23,32
6003,35,6
5785,29,6
7123,59,48
5811,29,16
6544,55,0
5196,39,0
7138,49,32
6934,8,54
6637,59,32
6888,33,48
5533,25,32
5731,31,0
6647,49,48
6325,29,24
7529,55,13
5623,25,24
5711,26,26
4852,29,18
6995,33,32
7346,39,33
6085,43,3
5917,29,32
6154,29,48
5644,19,0
6296,23,16
7231,43,7
5732,41,3
5292,39,0
7674,49,32
6339,33,24
5403,19,0
5958,41,17
5840,37,0
5418,40,0
7190,25,48
6265,26,24
5076,25,24
6407,43,0
7405,55,13
6944,48,40
5173,29,34
7046,52,0
6887,41,17
5049,43,3
5075,46,0
6453,45,64
5447,29,18
6614,53,32
4781,29,18
5130,29,26
6764,59,48
6176,43,3
6883,41,49
6992,39,12
5491,11,0
7290,29,64
6344,43,7
7704,49,24
5760,26,24
5754,32,0
5003,29,26
6337,43,48
6073,35,25
6590,47,32
7176,29,64
5538,25,48
6198,47,0
6159,27,16
5205,23,24
5649,11,0
7635,33,24
6117,35,33
4778,19,0
5650,31,0
6956,39,12
6702,39,0
6411,33,24
7473,23,64
6416,57,0
5800,43,6
5601,19,0
6082,43,0
7402,8,60
6662,33,64
5226,29,34
5310,23,16
5153,46,3
7466,39,33
7353,55,0
7034,52,0
6480,41,16
6710,53,32
7075,39,33
6326,47,0
5941,35,7
6171,42,3
6308,43,32
6180,55,32
6567,52,0
5791,19,0
4864,19,0
5962,29,32
6756,33,24
6491,33,32
7346,33,48
7249,47,0
6367,39,33
5829,29,24
7056,33,24
6759,33,64
6871,55,12
6018,23,48
6013,35,6
7871,33,64
6943,29,48
5845,46,0
6910,23,64
6154,29,18
6866,33,16
5819,53,3
6250,19,0
5684,25,32
6167,23,32
6149,33,32
6219,42,0
6872,41,24
7399,23,64
6859,8,54
6785,33,16
5684,42,0
7279,53,32
6532,50,24
5273,42,0
6858,33,48
