label, LUT ratio, FF ratio, BRAM ratio, DSP ratio, path delay, Rent, average fanout, total instances
Success, 0.6438992042440318, 0.45991379310344827, 0.3153846153846154, 0.36363636363636365, 0.1232, 0.39, 2.67, 24885
Success, 0.6445623342175066, 0.5272546419098143, 0.23846153846153847, 0.9166666666666666, 0.1232, 0.25, 2.46, 25384
Timing violation, 0.9257294429708223, 0.5727122015915119, 0.19230769230769232, 0.6818181818181818, 0.1232, 0.44, 2.34, 34411
Success, 0.9345490716180371, 0.6411140583554377, 0.43846153846153846, 0.9090909090909091, 0.1232, 0.39, 2.22, 36736
Timing violation, 0.9661140583554376, 0.6886604774535809, 0.6692307692307692, 0.8636363636363636, 0.1232, 0.32, 2.38, 35949
Success, 0.7314323607427056, 0.5892572944297082, 0.33076923076923076, 0.7727272727272727, 0.1232, 0.35, 2.48, 29596
Success, 0.8362068965517241, 0.5892241379310345, 0.6461538461538462, 0.6818181818181818, 0.1232, 0.48, 2.19, 32841
Implementation failed, 0.9386604774535809, 0.5257957559681697, 0.7923076923076923, 0.0, 0.1232, 0.63, 2.47, 34177
Success, 0.6326923076923077, 0.4913461538461538, 0.36153846153846153, 0.7727272727272727, 0.1232, 0.24, 2.37, 24263
Success, 0.9258620689655173, 0.6347480106100796, 0.45384615384615384, 0.9090909090909091, 0.1232, 0.4, 2.21, 36397
Success, 0.7495358090185676, 0.49074933687002653, 0.6692307692307692, 0.4090909090909091, 0.1232, 0.46, 2.43, 27055
Success, 0.871816976127321, 0.5302718832891247, 0.7153846153846154, 0.2727272727272727, 0.1232, 0.51, 2.69, 31179
Success, 0.943236074270557, 0.652553050397878, 0.33076923076923076, 0.6363636363636364, 0.1232, 0.5, 2.34, 37619
Success, 0.8139920424403183, 0.5583222811671088, 0.43846153846153846, 0.9090909090909091, 0.1232, 0.45, 2.1, 31807
Success, 0.7968169761273209, 0.548474801061008, 0.4076923076923077, 0.9090909090909091, 0.1232, 0.46, 2.09, 31133
Success, 0.8289787798408488, 0.5101127320954907, 0.7461538461538462, 0.36363636363636365, 0.1232, 0.49, 2.75, 28720
Success, 0.7838859416445624, 0.6059681697612732, 0.25384615384615383, 0.8181818181818182, 0.1232, 0.44, 2.48, 31026
Success, 0.8448275862068966, 0.6101790450928382, 0.5153846153846153, 0.8636363636363636, 0.1232, 0.55, 2.34, 31439
Timing violation, 0.9304376657824933, 0.5639257294429708, 0.33076923076923076, 0.7727272727272727, 0.1232, 0.44, 2.31, 34132
Success, 0.7345490716180372, 0.5277188328912467, 0.36153846153846153, 0.7272727272727273, 0.1232, 0.41, 2.5, 27520
Success, 0.8872015915119363, 0.6245358090185676, 0.3923076923076923, 0.8636363636363636, 0.1232, 0.48, 2.23, 35323
Implementation failed, 0.9258620689655173, 0.5298076923076923, 0.7461538461538462, 0.0, 0.1232, 0.52, 2.46, 34273
Implementation failed, 0.9523209549071618, 0.5997347480106101, 0.8692307692307693, 0.4090909090909091, 0.1232, 0.5, 2.43, 34343
Implementation failed, 0.8886604774535809, 0.47108753315649865, 0.9769230769230769, 0.0, 0.1232, 0.61, 2.57, 30219
Implementation failed, 0.9232758620689655, 0.6315649867374006, 0.7769230769230769, 0.42424242424242425, 0.1232, 0.4, 2.57, 34496
Success, 0.8864058355437666, 0.6055702917771884, 0.2230769230769231, 0.6818181818181818, 0.1232, 0.48, 2.24, 34793
Timing violation, 0.8942970822281167, 0.6426724137931035, 0.46153846153846156, 0.6818181818181818, 0.1232, 0.46, 2.28, 36010
Success, 0.7214854111405835, 0.4043103448275862, 0.7923076923076923, 0.0, 0.1232, 0.65, 2.58, 25611
Success, 0.8178381962864721, 0.5373342175066314, 0.6230769230769231, 0.4090909090909091, 0.1232, 0.47, 2.54, 29985
Success, 0.6663793103448276, 0.4307692307692308, 0.7307692307692307, 0.18181818181818182, 0.1232, 0.55, 2.47, 25240
Implementation failed, 0.9879310344827587, 0.6792771883289125, 0.5461538461538461, 0.6818181818181818, 0.1232, 0.49, 2.3, 38441
Success, 0.7895225464190981, 0.495789124668435, 0.2076923076923077, 0.6818181818181818, 0.1232, 0.52, 2.25, 29449
Success, 0.7750663129973475, 0.6238726790450928, 0.33076923076923076, 0.8257575757575758, 0.1232, 0.3, 2.54, 31658
Success, 0.826657824933687, 0.5601127320954907, 0.45384615384615384, 0.9090909090909091, 0.1232, 0.38, 2.12, 31973
Success, 0.8342838196286472, 0.5826259946949602, 0.5, 0.8636363636363636, 0.1232, 0.39, 2.16, 32866
Implementation failed, 0.9401193633952255, 0.5918766578249337, 0.8692307692307693, 0.6363636363636364, 0.1232, 0.49, 2.37, 32905
Success, 0.7638594164456234, 0.5642572944297082, 0.3769230769230769, 0.9090909090909091, 0.1232, 0.37, 2.38, 28440
Success, 0.649867374005305, 0.4195623342175066, 0.7769230769230769, 0.18181818181818182, 0.1232, 0.49, 2.42, 24271
Success, 0.6563660477453581, 0.38003978779840847, 0.6076923076923076, 0.0, 0.1232, 0.52, 2.51, 24115
Success, 0.7944960212201592, 0.5927387267904509, 0.3769230769230769, 0.9545454545454546, 0.1232, 0.25, 2.39, 29847
Success, 0.8960875331564987, 0.5653514588859416, 0.25384615384615383, 0.6818181818181818, 0.1232, 0.48, 2.34, 33768
Success, 0.7185676392572944, 0.4921419098143236, 0.19230769230769232, 0.6363636363636364, 0.1232, 0.43, 2.2, 28016
Timing violation, 0.9962201591511937, 0.6819297082228116, 0.5461538461538461, 0.9090909090909091, 0.1232, 0.22, 2.22, 39117
Success, 0.7721485411140584, 0.60815649867374, 0.36153846153846153, 0.9090909090909091, 0.1232, 0.3, 2.46, 30541
Success, 0.8870026525198939, 0.6384283819628647, 0.43846153846153846, 0.6818181818181818, 0.1232, 0.44, 2.28, 35771
Timing violation, 0.9147877984084881, 0.5467838196286472, 0.34615384615384615, 0.6818181818181818, 0.1232, 0.48, 2.28, 33052
Success, 0.9161803713527852, 0.6521220159151193, 0.6230769230769231, 0.9318181818181818, 0.1232, 0.42, 2.43, 33934
Success, 0.8520557029177719, 0.5738726790450929, 0.6692307692307692, 0.4090909090909091, 0.1232, 0.48, 2.52, 31881
Success, 0.8848143236074271, 0.5366379310344828, 0.8384615384615385, 0.2727272727272727, 0.1232, 0.48, 2.67, 31245
Success, 0.8923076923076924, 0.6280835543766579, 0.4076923076923077, 0.8636363636363636, 0.1232, 0.44, 2.23, 35519
Success, 0.8643236074270557, 0.5427055702917772, 0.6846153846153846, 0.45454545454545453, 0.1232, 0.46, 2.38, 31019
Timing violation, 0.9023209549071618, 0.5369363395225464, 0.4461538461538462, 0.7727272727272727, 0.1232, 0.45, 2.26, 32418
Timing violation, 0.8129310344827586, 0.5154509283819628, 0.25384615384615383, 0.7727272727272727, 0.1232, 0.44, 2.22, 30170
Success, 0.8827586206896552, 0.6702586206896551, 0.34615384615384615, 0.9545454545454546, 0.1232, 0.33, 2.48, 33980
