label, LUT ratio, FF ratio, BRAM ratio, DSP ratio, path delay, Rent, average fanout, total instances
Success, 0.605915784035133, 0.41829221030874564, 0.6363636363636364, 0.023809523809523808, 0.1232, 0.45, 2.85, 12033
Success, 0.7507104107465771, 0.5252551349954786, 0.5909090909090909, 0.14285714285714285, 0.1232, 0.38, 2.82, 14604
Success, 0.8554637044691294, 0.6440382379537527, 0.9772727272727273, 0.2857142857142857, 0.1232, 0.39, 2.53, 18132
Success, 0.6512529062257815, 0.30331998449812686, 0.25, 0.0, 0.1232, 0.46, 4.11, 7984
Success, 0.6976233531387238, 0.500452137966671, 0.6590909090909091, 0.0, 0.1232, 0.63, 2.92, 14689
Implementation failed, 0.9852751227073108, 0.7307841364164837, 0.8409090909090909, 0.7857142857142857, 0.1232, 0.24, 2.44, 19074
Success, 0.6807026608111599, 0.4441932566851828, 0.7954545454545454, 0.0, 0.1232, 0.48, 2.78, 13131
Success, 0.9639628003099974, 0.6888644877922749, 0.6590909090909091, 0.21428571428571427, 0.1232, 0.43, 2.73, 19408
Success, 0.8592095065874451, 0.54579511690996, 0.7954545454545454, 0.0, 0.1232, 0.58, 2.94, 16574
Implementation failed, 0.9430379746835443, 0.5428885156956466, 0.6590909090909091, 0.08333333333333333, 0.1232, 0.3, 2.53, 16407
Timing violation, 0.8421596486695945, 0.48113938767601083, 0.7954545454545454, 0.07142857142857142, 0.1232, 0.33, 2.73, 14484
Timing violation, 0.8784551795401705, 0.49799767471902856, 0.7954545454545454, 0.07142857142857142, 0.1232, 0.36, 2.74, 15024
Success, 0.6385946783776801, 0.4611161348662963, 0.5681818181818182, 0.023809523809523808, 0.1232, 0.5, 2.88, 12995
Success, 0.6746318780676828, 0.4940576152951815, 0.4318181818181818, 0.0, 0.1232, 0.54, 3.38, 12199
Success, 0.6495737535520537, 0.3813460793179176, 0.7954545454545454, 0.0, 0.1232, 0.6, 2.76, 11848
Success, 0.7421854817876518, 0.5330706627050769, 0.6590909090909091, 0.21428571428571427, 0.1232, 0.39, 2.58, 14735
Success, 0.6313614053216223, 0.40492184472290405, 0.7954545454545454, 0.0, 0.1232, 0.47, 2.76, 12197
Success, 0.6752777060191165, 0.4941867975713732, 0.5681818181818182, 0.14285714285714285, 0.1232, 0.4, 2.8, 13494
Success, 0.945750452079566, 0.7002325280971451, 0.75, 0.5714285714285714, 0.1232, 0.31, 2.56, 18634
Implementation failed, 0.9987083440971325, 0.5807389226198165, 0.7954545454545454, 0.08333333333333333, 0.1232, 0.23, 2.46, 17565
Success, 0.9496254197881684, 0.6749128019635706, 0.75, 0.2857142857142857, 0.1232, 0.52, 2.7, 18732
Success, 0.7020149832084732, 0.4554967058519571, 0.8409090909090909, 0.0, 0.1232, 0.61, 2.73, 13653
Success, 0.7260397830018083, 0.5519958661671619, 0.5227272727272727, 0.42857142857142855, 0.1232, 0.35, 2.52, 14501
Success, 0.6513820718160682, 0.24370236403565432, 0.1590909090909091, 0.0, 0.1232, 0.52, 4.25, 7548
Implementation failed, 0.6746318780676828, 0.23730784136416483, 0.4318181818181818, 0.0, 0.1232, 0.33, 3.39, 7564
Success, 0.8668302764143632, 0.5660767342720578, 0.6136363636363636, 0.0, 0.1232, 0.59, 2.96, 17048
Success, 0.8023766468612762, 0.582741247900788, 0.8409090909090909, 0.0, 0.1232, 0.46, 2.88, 17471
Success, 0.9351588736760527, 0.602570727296215, 0.6363636363636364, 0.21428571428571427, 0.1232, 0.41, 2.7, 17008
Implementation failed, 0.9839834668044433, 0.7099857899496189, 0.6590909090909091, 0.21428571428571427, 0.1232, 0.38, 2.66, 20123
Success, 0.7789976750193749, 0.5335873918098437, 0.9772727272727273, 0.14285714285714285, 0.1232, 0.51, 2.53, 15313
Success, 0.7899767501937484, 0.5166645136287301, 0.7954545454545454, 0.03571428571428571, 0.1232, 0.57, 2.78, 15589
Success, 0.9458796176698527, 0.6699392843301899, 0.18181818181818182, 0.7142857142857143, 0.1232, 0.4, 2.03, 19256
Success, 0.8502970808576595, 0.569564655729234, 0.5227272727272727, 0.0, 0.1232, 0.63, 2.94, 17464
Success, 0.8605011624903126, 0.6132282650820308, 0.6590909090909091, 0.14285714285714285, 0.1232, 0.36, 2.88, 17112
Implementation failed, 0.9356755360371997, 0.6570210567110193, 0.7045454545454546, 0.023809523809523808, 0.1232, 0.59, 2.94, 19249
Success, 0.8770343580470162, 0.6340266115488955, 0.5681818181818182, 0.2857142857142857, 0.1232, 0.41, 2.71, 17525
Implementation failed, 0.987729268922759, 0.7013305774447746, 0.6590909090909091, 0.2857142857142857, 0.1232, 0.45, 2.72, 19685
Success, 0.7669852751227073, 0.44800413383283816, 0.8863636363636364, 0.0, 0.1232, 0.45, 2.75, 13871
Timing violation, 0.9644794626711444, 0.5091073504715153, 0.8863636363636364, 0.14285714285714285, 0.1232, 0.34, 2.67, 15916
Success, 0.7956600361663653, 0.5322955690479266, 0.5681818181818182, 0.0, 0.1232, 0.47, 2.92, 16035
Success, 0.6099199173340222, 0.44561426172329155, 0.7045454545454546, 0.023809523809523808, 0.1232, 0.48, 2.81, 12512
Success, 0.6441487987600103, 0.3287043017697972, 0.25, 0.0, 0.1232, 0.37, 4.0, 8582
Success, 0.9414879876001033, 0.6614132541015373, 0.18181818181818182, 0.7142857142857143, 0.1232, 0.29, 2.04, 19047
Success, 0.9797210023249806, 0.7300736338974293, 0.5681818181818182, 0.5714285714285714, 0.1232, 0.42, 2.62, 19546
Success, 0.6325238956342031, 0.4398010592946648, 0.5227272727272727, 0.14285714285714285, 0.1232, 0.4, 2.8, 12061
Timing violation, 0.8738052182898476, 0.46596047022348536, 0.7045454545454546, 0.14285714285714285, 0.1232, 0.26, 2.59, 14468
Success, 0.999483337638853, 0.6964862420875856, 0.9318181818181818, 0.42857142857142855, 0.1232, 0.31, 2.6, 19219
Success, 0.7526478946008783, 0.47842655987598504, 0.9545454545454546, 0.03571428571428571, 0.1232, 0.47, 2.86, 14329
Timing violation, 0.6790235081374322, 0.3720449554321147, 0.6363636363636364, 0.08333333333333333, 0.1232, 0.28, 2.42, 11531
Success, 0.7362438646344613, 0.5078155277095983, 0.5909090909090909, 0.2857142857142857, 0.1232, 0.4, 2.61, 14034
Success, 0.6305864117799018, 0.45711148430435344, 0.5681818181818182, 0.023809523809523808, 0.1232, 0.37, 2.88, 12879
Timing violation, 0.8315680702660811, 0.4885027774189381, 0.6590909090909091, 0.08333333333333333, 0.1232, 0.33, 2.57, 14560
Success, 0.8842676311030742, 0.6389355380441804, 0.5681818181818182, 0.2857142857142857, 0.1232, 0.52, 2.71, 17673
Success, 0.8115474037716353, 0.5569693838005426, 0.75, 0.21428571428571427, 0.1232, 0.52, 2.63, 15563
Timing violation, 0.6628778093515887, 0.3594496835034233, 0.45454545454545453, 0.08333333333333333, 0.1232, 0.28, 2.44, 11190
Success, 0.8536553862051149, 0.6079963828962667, 0.6590909090909091, 0.14285714285714285, 0.1232, 0.41, 2.84, 16936
Implementation failed, 0.8165848617928184, 0.5238341299573699, 0.9772727272727273, 0.0, 0.1232, 0.51, 2.56, 16052
Success, 0.6633944717127357, 0.46524996770443094, 0.5, 0.0, 0.1232, 0.55, 2.88, 13449
Success, 0.6544820459829501, 0.4817207079188735, 0.5681818181818182, 0.023809523809523808, 0.1232, 0.45, 2.88, 13565
Success, 0.6635236373030224, 0.4884381862808423, 0.4318181818181818, 0.0, 0.1232, 0.55, 3.1, 12076
Success, 0.7791268406096615, 0.5406924170003875, 0.6590909090909091, 0.14285714285714285, 0.1232, 0.37, 2.85, 15123
Success, 0.8672177731852234, 0.6343495672393747, 0.6590909090909091, 0.2857142857142857, 0.1232, 0.34, 2.73, 17445
Success, 0.7815809868251098, 0.504392197390518, 0.5227272727272727, 0.07142857142857142, 0.1232, 0.39, 2.83, 13964
Success, 0.8092224231464737, 0.5705981139387676, 0.6363636363636364, 0.21428571428571427, 0.1232, 0.48, 2.68, 15733
Success, 0.9054507879101007, 0.6519829479395427, 0.6590909090909091, 0.2857142857142857, 0.1232, 0.32, 2.68, 17997
Timing violation, 0.7752518729010591, 0.4437411187185118, 0.7954545454545454, 0.07142857142857142, 0.1232, 0.31, 2.68, 13345
Success, 0.742056316197365, 0.4944451621237566, 0.4318181818181818, 0.0, 0.1232, 0.55, 3.53, 12335
Success, 0.7588478429346422, 0.48869655083322566, 0.6363636363636364, 0.21428571428571427, 0.1232, 0.46, 2.64, 13542
Implementation failed, 0.729268922758977, 0.4292727037850407, 0.9772727272727273, 0.011904761904761904, 0.1232, 0.48, 2.26, 13042
Success, 0.9290880909325756, 0.6660638160444387, 0.75, 0.21428571428571427, 0.1232, 0.34, 2.71, 18536
Success, 0.7628519762335314, 0.5298411058002842, 0.6590909090909091, 0.21428571428571427, 0.1232, 0.45, 2.63, 14758
Success, 0.8142598811676569, 0.5950135641390001, 0.6590909090909091, 0.42857142857142855, 0.1232, 0.3, 2.57, 15897
Success, 0.6945233789718419, 0.5244800413383284, 0.5227272727272727, 0.2857142857142857, 0.1232, 0.37, 2.65, 14114
Implementation failed, 0.758460346163782, 0.29479395426947425, 0.25, 0.0, 0.1232, 0.38, 3.61, 9122
Success, 0.6646861276156032, 0.4825603927141196, 0.4318181818181818, 0.0, 0.1232, 0.54, 3.33, 11895
Success, 0.7977266856109533, 0.5700813848340007, 0.7045454545454546, 0.023809523809523808, 0.1232, 0.59, 2.92, 16323
Success, 0.7110565745285456, 0.5329414804288851, 0.5681818181818182, 0.21428571428571427, 0.1232, 0.5, 2.62, 14472
Success, 0.8154223714802377, 0.5890065882960858, 0.6590909090909091, 0.2857142857142857, 0.1232, 0.39, 2.62, 16162
Success, 0.9665461121157324, 0.7080480558067433, 0.5227272727272727, 0.14285714285714285, 0.1232, 0.47, 2.88, 20275
Success, 0.8905967450271248, 0.6073504715153081, 0.7954545454545454, 0.2857142857142857, 0.1232, 0.36, 2.69, 17016
Implementation failed, 0.9899250839576337, 0.6887353055160832, 0.6590909090909091, 0.14285714285714285, 0.1232, 0.55, 2.9, 19598
Success, 0.9474296047532937, 0.6609611161348663, 0.6590909090909091, 0.14285714285714285, 0.1232, 0.47, 2.88, 18761
Timing violation, 0.9028674761043658, 0.4697713473711407, 0.8863636363636364, 0.14285714285714285, 0.1232, 0.33, 2.62, 14754
Success, 0.9615086540945492, 0.7263273478878698, 0.5227272727272727, 0.5714285714285714, 0.1232, 0.35, 2.62, 19314
Success, 0.8725135623869801, 0.5747319467769022, 0.9318181818181818, 0.03571428571428571, 0.1232, 0.56, 2.8, 17166
Success, 0.6676569361921983, 0.4158377470611032, 0.7954545454545454, 0.0, 0.1232, 0.62, 2.82, 12580
Success, 0.9613794885042625, 0.6690995995349438, 0.7045454545454546, 0.2857142857142857, 0.1232, 0.42, 2.69, 19001
Success, 0.7357272022733143, 0.5130474098953623, 0.7954545454545454, 0.0, 0.1232, 0.55, 2.83, 14996
Success, 0.7665977783518471, 0.5860999870817724, 0.5227272727272727, 0.2857142857142857, 0.1232, 0.45, 2.65, 15770
Success, 0.948850426246448, 0.653145588425268, 0.9090909090909091, 0.0, 0.1232, 0.62, 2.99, 19891
Success, 0.87768018599845, 0.6446195581966154, 0.6590909090909091, 0.42857142857142855, 0.1232, 0.45, 2.61, 17419
Success, 0.7182898475846035, 0.4755845497997675, 0.5227272727272727, 0.0, 0.1232, 0.51, 2.95, 14257
Success, 0.9239214673211057, 0.6903500839684795, 0.5681818181818182, 0.42857142857142855, 0.1232, 0.41, 2.66, 18666
Success, 0.7177731852234565, 0.49883735951427466, 0.5909090909090909, 0.21428571428571427, 0.1232, 0.47, 2.62, 13873
Success, 0.9279256006199949, 0.6907376307970546, 0.5681818181818182, 0.2857142857142857, 0.1232, 0.52, 2.72, 19182
Implementation failed, 0.8132265564453629, 0.47106317013305776, 0.7954545454545454, 0.011904761904761904, 0.1232, 0.54, 2.36, 14450
Implementation failed, 0.797339188840093, 0.15178917452525514, 0.1590909090909091, 0.0, 0.1232, 0.37, 5.44, 5567
Success, 0.6720485662619479, 0.4641519183568015, 0.4318181818181818, 0.0, 0.1232, 0.6, 2.95, 13755
Success, 0.782485145957117, 0.5231882185764113, 0.7045454545454546, 0.2857142857142857, 0.1232, 0.38, 2.59, 14482
Success, 0.7197106690777577, 0.49179692546182663, 0.9090909090909091, 0.0, 0.1232, 0.55, 2.95, 14601
Implementation failed, 0.9571170240247998, 0.7291047668259915, 0.6590909090909091, 0.6428571428571429, 0.1232, 0.33, 2.51, 19187
Success, 0.661198656677861, 0.42668905826120657, 0.7045454545454546, 0.0, 0.1232, 0.36, 2.81, 12696
Success, 0.7126065616119865, 0.25765404986435864, 0.1590909090909091, 0.0, 0.1232, 0.39, 4.37, 7998
Success, 0.7417979850167915, 0.5117555871334453, 0.6590909090909091, 0.14285714285714285, 0.1232, 0.51, 2.79, 14238
Success, 0.7490312580728494, 0.5527063686862163, 0.18181818181818182, 0.2857142857142857, 0.1232, 0.33, 2.24, 15425
Implementation failed, 0.9750710410746577, 0.6701976488825733, 0.8863636363636364, 0.14285714285714285, 0.1232, 0.41, 2.82, 18994
Success, 0.9091965900284165, 0.6771734917969254, 0.5227272727272727, 0.42857142857142855, 0.1232, 0.3, 2.67, 18302
Success, 0.8248514595711702, 0.6024415450200232, 0.6590909090909091, 0.14285714285714285, 0.1232, 0.36, 2.84, 16609
Success, 0.948850426246448, 0.6339620204107996, 0.9318181818181818, 0.2857142857142857, 0.1232, 0.31, 2.65, 17876
Timing violation, 0.8729010591578403, 0.46563751453300606, 0.6136363636363636, 0.14285714285714285, 0.1232, 0.3, 2.58, 14448
Success, 0.8974425213123224, 0.6203332902725746, 0.7727272727272727, 0.023809523809523808, 0.1232, 0.56, 2.91, 18085
Success, 0.7938517179023508, 0.5150497351763338, 0.6136363636363636, 0.0, 0.1232, 0.58, 2.89, 15573
Implementation failed, 0.7516145698785843, 0.14759075054902468, 0.1590909090909091, 0.0, 0.1232, 0.29, 5.42, 5392
Success, 0.6029449754585379, 0.428691383542178, 0.4772727272727273, 0.0, 0.1232, 0.52, 2.96, 12547
Implementation failed, 0.7858434513045724, 0.44606639968996253, 0.6136363636363636, 0.011904761904761904, 0.1232, 0.48, 2.38, 13824
Implementation failed, 0.8927925600619995, 0.5242862679240409, 0.7045454545454546, 0.08333333333333333, 0.1232, 0.29, 2.55, 15677
Success, 0.9396796693360888, 0.6314429660250613, 0.6363636363636364, 0.21428571428571427, 0.1232, 0.41, 2.77, 17495
Success, 0.8842676311030742, 0.6581836971967446, 0.75, 0.5714285714285714, 0.1232, 0.35, 2.52, 17265
Success, 0.7742185481787652, 0.5304224260431469, 0.7045454545454546, 0.0, 0.1232, 0.65, 2.85, 15568
Success, 0.9509170756910359, 0.5978555742152176, 0.8863636363636364, 0.0, 0.1232, 0.59, 2.91, 18148
Success, 0.7479979333505554, 0.48101020539981915, 0.8409090909090909, 0.0, 0.1232, 0.61, 2.79, 14516
Success, 0.7110565745285456, 0.4837876243379408, 0.4318181818181818, 0.0, 0.1232, 0.48, 2.97, 14421
Success, 0.672436063032808, 0.4551737501614778, 0.5681818181818182, 0.0, 0.1232, 0.58, 2.71, 13621
Success, 0.824980625161457, 0.601214313396202, 0.6590909090909091, 0.2857142857142857, 0.1232, 0.48, 2.67, 16550
Success, 0.7698269181090157, 0.5904921844722903, 0.5681818181818182, 0.2857142857142857, 0.1232, 0.45, 2.67, 15947
Success, 0.7233273056057866, 0.4382508719803643, 0.8863636363636364, 0.0, 0.1232, 0.45, 2.71, 13401
Timing violation, 0.8282097649186256, 0.4770701459759721, 0.7045454545454546, 0.07142857142857142, 0.1232, 0.35, 2.71, 14312
Success, 0.7469646086282614, 0.586745898462731, 0.5227272727272727, 0.2857142857142857, 0.1232, 0.4, 2.67, 15714
Success, 0.8031516404029967, 0.5163415579382509, 0.7272727272727273, 0.0, 0.1232, 0.59, 2.87, 15701
Success, 0.7202273314389047, 0.5432760625242217, 0.5227272727272727, 0.14285714285714285, 0.1232, 0.41, 2.83, 14767
Timing violation, 0.6141823818134848, 0.33761787882702493, 0.6363636363636364, 0.08333333333333333, 0.1232, 0.41, 2.48, 10431
Success, 0.894600878326014, 0.6455238341299574, 0.5681818181818182, 0.14285714285714285, 0.1232, 0.37, 2.89, 18246
Success, 0.8934383880134332, 0.618395556129699, 0.9318181818181818, 0.21428571428571427, 0.1232, 0.4, 2.67, 17574
Success, 0.8314389046757944, 0.5619429014339232, 0.7045454545454546, 0.0, 0.1232, 0.59, 2.85, 16818
Success, 0.6167656936192198, 0.48017052060457305, 0.4318181818181818, 0.0, 0.1232, 0.55, 3.03, 11776
Success, 0.9261172823559803, 0.6246608965249968, 0.8863636363636364, 0.2857142857142857, 0.1232, 0.36, 2.65, 17608
Timing violation, 0.6166365280289331, 0.3369719674460664, 0.6363636363636364, 0.08333333333333333, 0.1232, 0.51, 2.46, 10424
