label, LUT ratio, FF ratio, BRAM ratio, DSP ratio, path delay, Rent, average fanout, total instances
Success, 0.7715584415584416, 0.5096753246753247, 0.32575757575757575, 0.6818181818181818, 0.1232, 0.45, 2.18, 29986
Timing violation, 0.9022077922077922, 0.637012987012987, 0.5075757575757576, 0.6818181818181818, 0.1232, 0.54, 2.25, 36392
Implementation failed, 0.9346103896103896, 0.5658116883116883, 0.7954545454545454, 0.36363636363636365, 0.1232, 0.46, 2.61, 34115
Success, 0.7514285714285714, 0.4700974025974026, 0.6439393939393939, 0.2727272727272727, 0.1232, 0.49, 2.73, 26999
Success, 0.6348701298701299, 0.49665584415584413, 0.3560606060606061, 0.8257575757575758, 0.1232, 0.3, 2.46, 24999
Success, 0.6583766233766234, 0.45376623376623376, 0.26515151515151514, 0.18181818181818182, 0.1232, 0.56, 2.84, 26459
Success, 0.6315584415584415, 0.5041233766233766, 0.2803030303030303, 0.9090909090909091, 0.1232, 0.25, 2.35, 25031
Implementation failed, 0.9395454545454546, 0.6748376623376623, 0.6136363636363636, 0.7878787878787878, 0.1232, 0.37, 2.42, 36378
Timing violation, 0.9889610389610389, 0.6051623376623376, 0.3106060606060606, 0.6818181818181818, 0.1232, 0.47, 2.37, 37147
Success, 0.6061038961038961, 0.4081168831168831, 0.3712121212121212, 0.09090909090909091, 0.1232, 0.47, 2.86, 23306
Success, 0.8443506493506493, 0.5800649350649351, 0.25, 0.6363636363636364, 0.1232, 0.44, 2.31, 34019
Timing violation, 0.9822727272727273, 0.6096753246753247, 0.25, 0.6818181818181818, 0.1232, 0.58, 2.37, 37679
Success, 0.860974025974026, 0.6068181818181818, 0.5227272727272727, 0.6818181818181818, 0.1232, 0.39, 2.25, 34903
Success, 0.8192207792207792, 0.5747727272727273, 0.38636363636363635, 0.9090909090909091, 0.1232, 0.36, 2.16, 33167
Success, 0.6767532467532468, 0.5425324675324675, 0.2196969696969697, 0.8636363636363636, 0.1232, 0.3, 2.43, 27231
Success, 0.6186363636363637, 0.39285714285714285, 0.6590909090909091, 0.18181818181818182, 0.1232, 0.48, 2.48, 23362
Success, 0.7120779220779221, 0.5540909090909091, 0.2803030303030303, 0.9166666666666666, 0.1232, 0.41, 2.51, 28101
Success, 0.8207142857142857, 0.5654545454545454, 0.4318181818181818, 0.9090909090909091, 0.1232, 0.46, 2.14, 32810
Timing violation, 0.9401298701298701, 0.6212662337662338, 0.29545454545454547, 0.9090909090909091, 0.1232, 0.47, 2.25, 36941
Implementation failed, 0.8807792207792208, 0.5550324675324675, 0.6742424242424242, 0.5454545454545454, 0.1232, 0.45, 2.38, 32067
Success, 0.7648701298701299, 0.5986038961038961, 0.3409090909090909, 0.9166666666666666, 0.1232, 0.4, 2.49, 30436
Success, 0.7103896103896103, 0.5392857142857143, 0.3560606060606061, 0.8181818181818182, 0.1232, 0.34, 2.32, 27674
Success, 0.7162337662337662, 0.577012987012987, 0.32575757575757575, 0.7727272727272727, 0.1232, 0.35, 2.48, 29596
Implementation failed, 0.9717532467532467, 0.6914610389610389, 0.49242424242424243, 0.8636363636363636, 0.1232, 0.22, 2.27, 40091
Success, 0.7192857142857143, 0.5458441558441558, 0.3409090909090909, 0.9090909090909091, 0.1232, 0.32, 2.37, 27766
Success, 0.7845454545454545, 0.5774675324675325, 0.3409090909090909, 0.6363636363636364, 0.1232, 0.42, 2.62, 31192
Success, 0.6337012987012987, 0.471525974025974, 0.2196969696969697, 0.6818181818181818, 0.1232, 0.24, 2.55, 24646
Success, 0.8931818181818182, 0.6347077922077922, 0.5909090909090909, 0.6818181818181818, 0.1232, 0.45, 2.28, 36303
Success, 0.7918181818181819, 0.6087662337662337, 0.3712121212121212, 0.8636363636363636, 0.1232, 0.38, 2.46, 31443
Success, 0.6431168831168831, 0.4176948051948052, 0.6742424242424242, 0.007575757575757576, 0.1232, 0.5, 2.52, 25326
Success, 0.6495454545454545, 0.48262987012987013, 0.2803030303030303, 0.7272727272727273, 0.1232, 0.36, 2.55, 25134
Success, 0.7596753246753247, 0.5237987012987013, 0.20454545454545456, 0.6818181818181818, 0.1232, 0.44, 2.21, 30466
Timing violation, 0.9327922077922078, 0.5776948051948052, 0.25, 0.6818181818181818, 0.1232, 0.53, 2.31, 35367
Success, 0.6125324675324675, 0.43366883116883115, 0.3106060606060606, 0.2727272727272727, 0.1232, 0.36, 2.7, 24341
Success, 0.678961038961039, 0.44782467532467535, 0.6439393939393939, 0.3787878787878788, 0.1232, 0.42, 2.7, 24877
Implementation failed, 0.8368181818181818, 0.637012987012987, 0.2803030303030303, 0.9545454545454546, 0.1232, 0.36, 2.47, 32925
Success, 0.6877922077922078, 0.42055194805194807, 0.6287878787878788, 0.36363636363636365, 0.1232, 0.43, 2.74, 23839
Success, 0.7851298701298701, 0.5126298701298702, 0.7348484848484849, 0.4090909090909091, 0.1232, 0.55, 2.47, 29174
Timing violation, 0.9047402597402597, 0.6450974025974026, 0.5909090909090909, 0.6818181818181818, 0.1232, 0.52, 2.25, 36827
Success, 0.8662987012987013, 0.5822727272727273, 0.4318181818181818, 0.7272727272727273, 0.1232, 0.41, 2.53, 32483
Timing violation, 0.8703246753246753, 0.5820779220779221, 0.6363636363636364, 0.9090909090909091, 0.1232, 0.47, 2.14, 34073
Success, 0.8910389610389611, 0.6488311688311689, 0.5227272727272727, 0.8409090909090909, 0.1232, 0.28, 2.46, 34773
Implementation failed, 0.6614285714285715, 0.5430194805194806, 0.23484848484848486, 0.9545454545454546, 0.1232, 0.3, 2.38, 26778
Success, 0.6756493506493506, 0.47064935064935065, 0.3106060606060606, 0.18181818181818182, 0.1232, 0.52, 2.81, 27391
Success, 0.6222727272727273, 0.4371103896103896, 0.29545454545454547, 0.18181818181818182, 0.1232, 0.43, 2.8, 24779
Success, 0.6085064935064936, 0.477012987012987, 0.32575757575757575, 0.8257575757575758, 0.1232, 0.3, 2.43, 23677
Success, 0.7593506493506493, 0.594448051948052, 0.2196969696969697, 0.7727272727272727, 0.1232, 0.37, 2.5, 31162
Success, 0.7964285714285714, 0.5621753246753247, 0.5227272727272727, 0.6818181818181818, 0.1232, 0.45, 2.19, 32074
Success, 0.9288311688311688, 0.6477597402597403, 0.23484848484848486, 0.6818181818181818, 0.1232, 0.45, 2.32, 38168
Success, 0.7442207792207792, 0.6126948051948052, 0.23484848484848486, 0.8636363636363636, 0.1232, 0.47, 2.46, 31352
Success, 0.7868831168831169, 0.6227922077922078, 0.2196969696969697, 0.8636363636363636, 0.1232, 0.36, 2.48, 32345
Success, 0.819025974025974, 0.5394155844155845, 0.7348484848484849, 0.5, 0.1232, 0.43, 2.48, 30392
Success, 0.7793506493506493, 0.540064935064935, 0.6136363636363636, 0.5151515151515151, 0.1232, 0.44, 2.48, 29733
Success, 0.7120779220779221, 0.47788961038961036, 0.20454545454545456, 0.6818181818181818, 0.1232, 0.48, 2.15, 27958
Timing violation, 0.913961038961039, 0.629025974025974, 0.7651515151515151, 0.6060606060606061, 0.1232, 0.46, 2.51, 34648
Success, 0.9222077922077923, 0.662435064935065, 0.5075757575757576, 0.8636363636363636, 0.1232, 0.44, 2.41, 35755
Success, 0.8066233766233766, 0.5427922077922078, 0.6590909090909091, 0.6363636363636364, 0.1232, 0.32, 2.44, 29605
Success, 0.678051948051948, 0.412987012987013, 0.4621212121212121, 0.0, 0.1232, 0.51, 2.57, 26235
Implementation failed, 0.9354545454545454, 0.6025324675324676, 0.7348484848484849, 0.5454545454545454, 0.1232, 0.47, 2.52, 34543
Implementation failed, 0.9726623376623377, 0.5967532467532467, 0.9015151515151515, 0.0, 0.1232, 0.46, 2.64, 37967
Success, 0.7126623376623377, 0.507012987012987, 0.4015151515151515, 0.6818181818181818, 0.1232, 0.39, 2.12, 28707
