label, LUT ratio, FF ratio, BRAM ratio, DSP ratio, path delay, Rent, average fanout, total instances
Success, 0.9290956749672346, 0.30743774574049804, 0.026515151515151516, 0.0, 0.1232, 0.27, 3.71, 38589
Timing violation, 0.8889252948885976, 0.3643840104849279, 0.026515151515151516, 0.0, 0.1232, 0.42, 3.9, 45354
Timing violation, 0.6757208387942333, 0.5039646133682831, 0.4810606060606061, 0.9128787878787878, 0.1232, 0.19, 2.01, 56055
Implementation failed, 0.6499672346002622, 0.5023591087811271, 0.45075757575757575, 0.9810606060606061, 0.1232, 0.1, 2.0, 55095
Success, 0.8249672346002621, 0.4904980340760157, 0.7007575757575758, 0.36363636363636365, 0.1232, 0.46, 2.47, 59112
Success, 0.9121559633027523, 0.41921690694626473, 0.2159090909090909, 0.9128787878787878, 0.1232, 0.3, 2.78, 48565
Timing violation, 0.963826998689384, 0.31179554390563563, 0.10984848484848485, 0.14772727272727273, 0.1232, 0.44, 4.78, 37735
Implementation failed, 0.9973132372214941, 0.21569462647444299, 0.045454545454545456, 0.03787878787878788, 0.1232, 0.36, 9.11, 22353
Success, 0.7322411533420707, 0.4352391874180865, 0.7007575757575758, 0.5492424242424242, 0.1232, 0.49, 2.4, 49602
Implementation failed, 0.7082896461336828, 0.49932830930537353, 0.3068181818181818, 0.9659090909090909, 0.1232, 0.31, 2.35, 52535
Timing violation, 0.7443643512450852, 0.5089285714285714, 0.38257575757575757, 0.9659090909090909, 0.1232, 0.34, 2.38, 53934
Timing violation, 0.9800786369593709, 0.32136304062909565, 0.125, 0.19318181818181818, 0.1232, 0.46, 4.71, 38453
Success, 0.818610747051114, 0.4908748361730013, 0.9053030303030303, 0.0, 0.1232, 0.58, 2.67, 60919
Success, 0.6467234600262123, 0.32763761467889907, 0.821969696969697, 0.0, 0.1232, 0.69, 2.46, 44193
Success, 0.6838794233289646, 0.3123361730013106, 0.10984848484848485, 0.821969696969697, 0.1232, 0.09, 2.72, 34750
Success, 0.7422018348623853, 0.4477391874180865, 0.7007575757575758, 0.5946969696969697, 0.1232, 0.42, 2.39, 50667
Success, 0.6543577981651376, 0.4470511140235911, 0.38257575757575757, 0.6477272727272727, 0.1232, 0.38, 2.49, 48177
Success, 0.7828636959370905, 0.3703800786369594, 0.1856060606060606, 0.821969696969697, 0.1232, 0.14, 2.75, 42027
Success, 0.7370249017038007, 0.4509338138925295, 0.7007575757575758, 0.5492424242424242, 0.1232, 0.33, 2.42, 50887
Timing violation, 0.836435124508519, 0.23309305373525557, 0.10606060606060606, 0.07954545454545454, 0.1232, 0.52, 5.19, 29093
Implementation failed, 0.6252948885976409, 0.4460681520314548, 0.48484848484848486, 0.9772727272727273, 0.1232, 0.26, 2.04, 50055
Success, 0.7759829619921363, 0.5311762778505897, 0.5492424242424242, 0.9204545454545454, 0.1232, 0.39, 2.41, 55795
Timing violation, 0.8749017038007864, 0.2518348623853211, 0.11742424242424243, 0.17045454545454544, 0.1232, 0.49, 5.03, 29870
Timing violation, 0.8390563564875492, 0.3722640891218873, 0.1553030303030303, 0.9128787878787878, 0.1232, 0.34, 2.74, 43230
Success, 0.8337811271297509, 0.29098951507208387, 0.026515151515151516, 0.0, 0.1232, 0.37, 3.77, 35789
Timing violation, 0.977653997378768, 0.3733617300131062, 0.026515151515151516, 0.0, 0.1232, 0.39, 3.44, 47248
Timing violation, 0.8695937090432503, 0.4009010484927916, 0.1553030303030303, 0.9128787878787878, 0.1232, 0.33, 2.79, 45986
Timing violation, 0.973656618610747, 0.2806192660550459, 0.06439393939393939, 0.22727272727272727, 0.1232, 0.36, 4.03, 34221
Success, 0.6479685452162517, 0.33474770642201834, 0.7840909090909091, 0.0, 0.1232, 0.67, 2.51, 45208
Success, 0.8270642201834862, 0.5066186107470512, 0.7007575757575758, 0.821969696969697, 0.1232, 0.38, 2.33, 56219
Success, 0.7659895150720839, 0.45719200524246395, 0.7916666666666666, 0.4128787878787879, 0.1232, 0.38, 2.46, 54650
Success, 0.6873197903014416, 0.4107470511140236, 0.8446969696969697, 0.003787878787878788, 0.1232, 0.62, 2.66, 50303
Success, 0.6198885976408912, 0.4682175622542595, 0.4431818181818182, 0.7045454545454546, 0.1232, 0.29, 2.05, 51907
Success, 0.600786369593709, 0.44071100917431194, 0.26136363636363635, 0.9659090909090909, 0.1232, 0.26, 2.31, 44362
Success, 0.7646788990825688, 0.3605013106159895, 0.11742424242424243, 0.821969696969697, 0.1232, 0.28, 2.79, 41212
Success, 0.898132372214941, 0.41189384010484925, 0.2765151515151515, 0.821969696969697, 0.1232, 0.17, 2.72, 48741
Success, 0.7134010484927916, 0.4800131061598952, 0.5037878787878788, 0.875, 0.1232, 0.36, 2.37, 50347
Success, 0.6054062909567497, 0.43700851900393184, 0.1856060606060606, 0.9583333333333334, 0.1232, 0.24, 2.4, 44693
Success, 0.6509501965923984, 0.4622870249017038, 0.26136363636363635, 0.9659090909090909, 0.1232, 0.29, 2.33, 48121
Success, 0.894429882044561, 0.5046035386631716, 0.7916666666666666, 0.22727272727272727, 0.1232, 0.35, 2.5, 64393
