label, LUT ratio, FF ratio, BRAM ratio, DSP ratio, path delay, Rent, average fanout, total instances
Timing violation, 0.8432652533609101, 0.5653438469493278, 0.7636363636363637, 0.7402597402597403, 0.1232, 0.4, 2.15, 33032
Success, 0.8819157187176836, 0.6377649948293692, 0.4090909090909091, 0.6233766233766234, 0.1232, 0.46, 2.62, 35081
Success, 0.8398397104446742, 0.5866403826266805, 0.5909090909090909, 0.7792207792207793, 0.1232, 0.42, 2.14, 34184
Success, 0.6941571871768356, 0.5538068769389866, 0.2818181818181818, 0.9415584415584416, 0.1232, 0.33, 2.45, 27086
Timing violation, 0.9741468459152016, 0.6193769389865563, 0.2818181818181818, 0.6623376623376623, 0.1232, 0.53, 2.36, 38146
Implementation failed, 0.811271975180972, 0.5672828335056876, 0.6727272727272727, 0.935064935064935, 0.1232, 0.4, 2.06, 32693
Success, 0.8618795243019648, 0.5663133402275078, 0.39090909090909093, 0.8571428571428571, 0.1232, 0.44, 2.16, 33446
Implementation failed, 0.9857161323681489, 0.6205403309203723, 0.8818181818181818, 0.5844155844155844, 0.1232, 0.47, 2.52, 35900
Success, 0.6644906928645294, 0.46471044467425027, 0.43636363636363634, 0.8571428571428571, 0.1232, 0.39, 2.0, 26740
Success, 0.6171794208893485, 0.40095010341261633, 0.7363636363636363, 0.15584415584415584, 0.1232, 0.54, 2.44, 23992
Success, 0.6399301964839711, 0.4051512409513961, 0.6272727272727273, 0.23376623376623376, 0.1232, 0.45, 2.7, 23112
Implementation failed, 0.9762797311271976, 0.6522104446742503, 0.4636363636363636, 0.974025974025974, 0.1232, 0.46, 2.14, 38669
Success, 0.8647233712512926, 0.5510276628748707, 0.35454545454545455, 0.8571428571428571, 0.1232, 0.42, 2.16, 33233
Implementation failed, 0.9554679420889348, 0.6009242502585316, 0.3, 0.935064935064935, 0.1232, 0.5, 2.22, 37009
Success, 0.7142580144777663, 0.46797440537745605, 0.7909090909090909, 0.35064935064935066, 0.1232, 0.34, 2.4, 26631
Success, 0.7915589451913133, 0.6224146845915202, 0.4090909090909091, 0.8181818181818182, 0.1232, 0.46, 2.42, 31830
Success, 0.6472337125129266, 0.5244635470527405, 0.39090909090909093, 0.6623376623376623, 0.1232, 0.36, 2.42, 26516
Success, 0.6275853154084798, 0.513993019648397, 0.2818181818181818, 0.8181818181818182, 0.1232, 0.31, 2.35, 25320
Success, 0.8694415718717684, 0.5530635987590486, 0.8090909090909091, 0.42857142857142855, 0.1232, 0.45, 2.39, 32139
Success, 0.6734100310237849, 0.4904020165460186, 0.4090909090909091, 0.6233766233766234, 0.1232, 0.34, 2.5, 25657
Implementation failed, 0.7770811789038262, 0.5494441571871769, 0.6090909090909091, 0.935064935064935, 0.1232, 0.42, 2.03, 31553
Success, 0.6628102378490176, 0.5286646845915202, 0.2636363636363636, 0.7077922077922078, 0.1232, 0.31, 2.5, 26664
Success, 0.65641158221303, 0.5262409513960703, 0.2636363636363636, 0.7402597402597403, 0.1232, 0.34, 2.38, 26315
Success, 0.6098112719751809, 0.43029343329886244, 0.38181818181818183, 0.8181818181818182, 0.1232, 0.34, 1.98, 24501
Timing violation, 0.891287487073423, 0.6027339710444675, 0.3090909090909091, 0.8571428571428571, 0.1232, 0.38, 2.21, 35230
Success, 0.8419079627714581, 0.5388120475698035, 0.22727272727272727, 0.7792207792207793, 0.1232, 0.47, 2.16, 32358
Success, 0.764865563598759, 0.5572970527404343, 0.42727272727272725, 0.7077922077922078, 0.1232, 0.34, 2.46, 29318
Success, 0.9767967942088935, 0.6438728024819028, 0.22727272727272727, 0.8766233766233766, 0.1232, 0.49, 2.22, 38799
Implementation failed, 0.9602507755946226, 0.62596949327818, 0.8818181818181818, 0.5064935064935064, 0.1232, 0.38, 2.52, 35729
Success, 0.8695708376421923, 0.6164361427094105, 0.7363636363636363, 0.6753246753246753, 0.1232, 0.34, 2.38, 33215
Timing violation, 0.7284772492244054, 0.3963288521199586, 0.6454545454545455, 0.08441558441558442, 0.1232, 0.41, 2.34, 24893
Success, 0.7441184074457083, 0.515770423991727, 0.6272727272727273, 0.4805194805194805, 0.1232, 0.35, 2.46, 28357
Implementation failed, 0.9820320579110652, 0.6362461220268872, 0.2636363636363636, 0.6623376623376623, 0.1232, 0.56, 2.36, 38468
Implementation failed, 0.8428128231644261, 0.5727766287487074, 0.42727272727272725, 0.6233766233766234, 0.1232, 0.54, 2.53, 32013
Success, 0.7835444674250258, 0.44441571871768354, 0.8818181818181818, 0.0, 0.1232, 0.62, 2.57, 28895
Success, 0.6128490175801448, 0.4745023267838676, 0.39090909090909093, 0.6233766233766234, 0.1232, 0.2, 2.59, 24350
Success, 0.9724017580144778, 0.6654925025853154, 0.6454545454545455, 0.5844155844155844, 0.1232, 0.47, 2.3, 38728
Success, 0.6608712512926577, 0.5275659255429163, 0.2636363636363636, 0.7012987012987013, 0.1232, 0.32, 2.42, 26599
Success, 0.8647233712512926, 0.608712512926577, 0.4636363636363636, 0.7402597402597403, 0.1232, 0.48, 2.23, 35323
Success, 0.9141675284384695, 0.6318187693898656, 0.4636363636363636, 0.7402597402597403, 0.1232, 0.44, 2.25, 36840
Success, 0.6170501551189245, 0.48245217166494314, 0.33636363636363636, 0.7792207792207793, 0.1232, 0.29, 2.33, 23971
Success, 0.7094751809720786, 0.5394906928645294, 0.42727272727272725, 0.9415584415584416, 0.1232, 0.22, 2.43, 26728
Success, 0.7679679420889348, 0.47754007238883145, 0.7909090909090909, 0.15584415584415584, 0.1232, 0.56, 2.48, 29561
Implementation failed, 0.9506204756980352, 0.5385535160289555, 0.9363636363636364, 0.0, 0.1232, 0.61, 2.51, 35513
Success, 0.8210961737331954, 0.6238042916235781, 0.2636363636363636, 0.9415584415584416, 0.1232, 0.24, 2.52, 31804
Success, 0.8805584281282316, 0.5998578076525336, 0.9181818181818182, 0.4805194805194805, 0.1232, 0.49, 2.5, 33462
Success, 0.7894906928645294, 0.5244958634953464, 0.6090909090909091, 0.4675324675324675, 0.1232, 0.39, 2.53, 29317
Implementation failed, 0.9723371251292657, 0.6198940020682523, 0.39090909090909093, 0.935064935064935, 0.1232, 0.47, 2.25, 38321
Success, 0.7207213029989659, 0.45239788004136505, 0.8272727272727273, 0.19480519480519481, 0.1232, 0.49, 2.68, 26490
Success, 0.6602895553257497, 0.4603477249224405, 0.43636363636363634, 0.8571428571428571, 0.1232, 0.43, 2.0, 26457
Success, 0.6381204756980352, 0.48687952430196485, 0.3, 0.6233766233766234, 0.1232, 0.22, 2.52, 25116
Success, 0.9470010341261634, 0.6370217166494312, 0.37272727272727274, 0.6428571428571429, 0.1232, 0.46, 2.29, 37503
Success, 0.7372026887280249, 0.5486039296794208, 0.5181818181818182, 0.7792207792207793, 0.1232, 0.4, 2.3, 28323
Success, 0.6231902792140641, 0.44664555325749744, 0.35454545454545455, 0.3116883116883117, 0.1232, 0.36, 2.67, 24752
Success, 0.6948681489141675, 0.40343846949327816, 0.8818181818181818, 0.0, 0.1232, 0.56, 2.53, 26256
Success, 0.6425155118924509, 0.4547569803516029, 0.2636363636363636, 0.15584415584415584, 0.1232, 0.58, 2.82, 26560
Success, 0.687435367114788, 0.4919855222337125, 0.35454545454545455, 0.23376623376623376, 0.1232, 0.49, 2.76, 28209
Success, 0.9272233712512926, 0.6100051706308169, 0.8818181818181818, 0.7077922077922078, 0.1232, 0.4, 2.41, 33724
Success, 0.6645553257497415, 0.4345915201654602, 0.6909090909090909, 0.11688311688311688, 0.1232, 0.51, 2.62, 25677
Success, 0.8340227507755946, 0.5544855222337125, 0.6090909090909091, 0.19480519480519481, 0.1232, 0.6, 2.85, 32956
Success, 0.780377456049638, 0.5405571354705274, 0.2818181818181818, 0.6428571428571429, 0.1232, 0.48, 2.19, 31339
Success, 0.8028697001034126, 0.5842489658738366, 0.4090909090909091, 0.6233766233766234, 0.1232, 0.37, 2.6, 31707
Success, 0.8022880041365047, 0.5425284384694933, 0.7909090909090909, 0.5064935064935064, 0.1232, 0.36, 2.45, 29744
Success, 0.797117373319545, 0.5237202688728024, 0.7363636363636363, 0.35064935064935066, 0.1232, 0.47, 2.54, 29985
Success, 0.9080920372285419, 0.5688663391933816, 0.37272727272727274, 0.7792207792207793, 0.1232, 0.42, 2.18, 34443
Success, 0.8362849017580145, 0.5795307652533609, 0.5181818181818182, 0.7402597402597403, 0.1232, 0.42, 2.2, 33510
Success, 0.7621509824198552, 0.5963676318510859, 0.3, 0.7402597402597403, 0.1232, 0.34, 2.46, 30691
Success, 0.7948552223371251, 0.5615951396070321, 0.6090909090909091, 0.7012987012987013, 0.1232, 0.49, 2.33, 29873
Success, 0.7159384694932782, 0.514348500517063, 0.42727272727272725, 0.6233766233766234, 0.1232, 0.41, 2.5, 27520
Success, 0.8489529472595657, 0.5959152016546019, 0.6090909090909091, 0.5844155844155844, 0.1232, 0.43, 2.2, 34166
Success, 0.8186401240951396, 0.6016675284384695, 0.6272727272727273, 0.7987012987012987, 0.1232, 0.42, 2.4, 31681
Success, 0.6359875904860393, 0.4119700103412616, 0.6272727272727273, 0.23376623376623376, 0.1232, 0.47, 2.72, 23361
Success, 0.6929937952430196, 0.4579886246122027, 0.7181818181818181, 0.15584415584415584, 0.1232, 0.56, 2.64, 27292
Success, 0.7626034126163392, 0.5165783350568769, 0.6090909090909091, 0.6233766233766234, 0.1232, 0.33, 2.49, 28131
Timing violation, 0.93782316442606, 0.7066636504653567, 0.4090909090909091, 0.7857142857142857, 0.1232, 0.31, 2.58, 37935
Timing violation, 0.9415072388831437, 0.6811982936918304, 0.5181818181818182, 0.8181818181818182, 0.1232, 0.44, 2.38, 36893
Success, 0.9102895553257497, 0.5911646845915202, 0.7909090909090909, 0.35064935064935066, 0.1232, 0.44, 2.49, 34631
Implementation failed, 0.8623965873836608, 0.5230416235780765, 0.990909090909091, 0.23376623376623376, 0.1232, 0.48, 2.67, 31245
Implementation failed, 0.99967683557394, 0.6223500517063082, 0.5272727272727272, 0.935064935064935, 0.1232, 0.5, 2.27, 38640
Implementation failed, 0.8676964839710445, 0.5428192864529473, 0.39090909090909093, 0.935064935064935, 0.1232, 0.41, 2.16, 33703
Success, 0.8572259565667011, 0.6289102895553258, 0.44545454545454544, 0.7077922077922078, 0.1232, 0.42, 2.57, 33831
Implementation failed, 0.9756334022750776, 0.6921212512926577, 0.5181818181818182, 0.9415584415584416, 0.1232, 0.31, 2.45, 37069
Success, 0.8091390899689762, 0.5697388831437435, 0.22727272727272727, 0.6428571428571429, 0.1232, 0.44, 2.23, 33154
Success, 0.7076008273009308, 0.5411065149948294, 0.33636363636363636, 0.7792207792207793, 0.1232, 0.36, 2.38, 27525
Implementation failed, 0.9780248190279214, 0.6673345398138573, 0.5363636363636364, 0.7792207792207793, 0.1232, 0.07, 2.22, 39287
Success, 0.8965873836608066, 0.641125904860393, 0.42727272727272725, 0.7857142857142857, 0.1232, 0.39, 2.44, 34827
Success, 0.8990434332988625, 0.6044144260599793, 0.5363636363636364, 0.7792207792207793, 0.1232, 0.44, 2.17, 35513
Implementation failed, 0.9925672182006204, 0.6076137538779731, 0.37272727272727274, 0.6623376623376623, 0.1232, 0.53, 2.3, 37513
Success, 0.6602249224405378, 0.41982290589451915, 0.7181818181818181, 0.23376623376623376, 0.1232, 0.44, 2.65, 23961
Success, 0.8422311271975181, 0.5481191830403309, 0.3, 0.6623376623376623, 0.1232, 0.48, 2.28, 32683
Success, 0.6058686659772492, 0.452979576008273, 0.3, 0.6233766233766234, 0.1232, 0.23, 2.56, 23296
Success, 0.8674379524301965, 0.6174056359875905, 0.42727272727272725, 0.7077922077922078, 0.1232, 0.38, 2.45, 33770
Success, 0.874741468459152, 0.5742308686659773, 0.6636363636363637, 0.38961038961038963, 0.1232, 0.5, 2.49, 33200
Success, 0.6581566701137539, 0.4593782316442606, 0.35454545454545455, 0.11688311688311688, 0.1232, 0.49, 2.82, 26944
Timing violation, 0.9383402275077559, 0.6239012409513961, 0.3090909090909091, 0.8766233766233766, 0.1232, 0.48, 2.2, 37281
